Lotno	Description	LowEstimate	HighEstimate
1	Wooden Hospital Bedside Cabinet	0	0
2	Wooden Hospital Bedside Cabinet	0	0
3	Wooden Hospital Bedside Cabinet	0	0
4	Wooden Hospital Bedside Cabinet	0	0
5	Hereaus Instruments Incubator	0	0
6	Stereo Optical Vision Tester	0	0
7	EMS Megapulse Therapy Unit	0	0
8	Eschmann VP-120 Suction Unit	0	0
9	Tilt Top Medical Trolley	0	0
10	Bristol Maid Tilt Top Medeical Trolley	0	0
11	Freeway Medical Tilt Top Medical Trolley	0	0
12	Freeway Medical Tilt Top Medical Trolley	0	0
13	Avocado Green Stainless Steel Topped Medical Trolley	0	0
14	Clement Clarje Opthalmic Unit	0	0
15	Hewlett Packard Agilent Patient Monitor & Control Unit With Remote & Rack System	0	0
16	Hewlett Packard Agilent Patient Monitor & Control Unit With Remote & Rack System	0	0
17	Hewlett Packard Agilent Patient Monitor & Control Unit With Remote & Rack System	0	0
18	Hewlett Packard Agilent Patient Monitor & Control Unit	0	0
19	Hewlett Packard Agilent Patient Monitor & Control Unit	0	0
20	Hewlett Packard Agilent Patient Monitor Only	0	0
21	Smith & Nephew Dyonics Camera System on Trollet with Monitor Including Images Xenon Lightsource - 3 Chip Digital Camera Unit - Stills Recorder etc	0	0
22	Sony Camera System on Trolley with Small Monitor - Sony Camera Unit & Head with R/C - Olympus CLV-S20 Light Source & Sony VHS Video Recorder	0	0
23	Box of Small Medical Cushions for Operating Tables	0	0
24	Vickers Air Shields C200 Infant Incubator	0	0
25	Vickers Air Shields C200 Infant Incubator	0	0
26	5 x Alaris P-6000 Syringe Drivers	0	0
27	5 x Alaris P-6000 Syringe Drivers	0	0
28	5 x Alaris P-6000 Syringe Drivers	0	0
29	5 x Alaris P-6000 Syringe Drivers	0	0
30	5 x Alaris P-6000 Syringe Drivers	0	0
31	5 x Alaris P-6000 Syringe Drivers	0	0
32	5 x Disetronic Insulin Pumps	0	0
33	Disetronic Insulin Pump Starter Kit	0	0
34	Disetronic Insulin Pump Starter Kit	0	0
35	Disetronic Insulin Pump Starter Kit	0	0
